معرف المشروع,كود المشروع,المالك,رقم المشروع,المشروع,حالة المشروع,نوع المشروع,انواع الوحدات,موعد إفتتاح المشروع,الموقع,الإتجاه,الدولة,المدينة,الحي,بروشور المشروع,فيديوهات المشروع,صور المشروع,المرافق,عدد الوحدات,عدد الوحدات المتاحة,عدد الوحدات تحت الإنشاء,عدد الوحدات المحجوزة,عدد الوحدات المباعة,متوسط قيمة الوحدة,متوسط قيمة الوحدات المتاحة,إجمالي قيمة المشروع,نسبة بيع المشروع,إجمالي قيمة تحت الإنشاء,إجمالي قيمة المتاح,إجمالي قيمة المحجوز,إجمالي قيمة المباع,السعر الأدنى,السعر الأدنى المتاح,السعر الأقصى,السعر الأقصى المتاح,نطاق السعر,نطاق السعر المتاح,المساحة الأدنى,المساحة الأدنى المتاحة,المساحة الأقصى,المساحة الأقصى المتاحة,نطاق المساحة,نطاق المساحة المتاحة,عدد ادنى غرف نوم,عدد ادنى غرف نوم المتاحة,عدد اقصى غرف نوم,عدد اقصى غرف نوم متاحة,نطاق غرف النوم,نطاق غرف النوم المتاحة,عدد ادنى حمامات ,عدد ادنى حمامات متاحة,عدد اقصى حمامات,عدد اقصى حمامات متاحة,نطاق الحمامات,نطاق الحمامات المتاحة
1,TAN,تنال,,تنال - الرمال,متاح,سكني,دور-شقة,,https://maps.app.goo.gl/VQzCjvzJ9MfCPR7U9,شمال,المملكة العربية السعودية,الرياض,الرمال,,,,"صالة جلوس, مجلس",6٫00,6٫00,0٫00,0٫00,0٫00,796٬667,796٬667,4٬780٬000,0٫00%,0,4٬780٬000,0,0,600٬000,600٬000,990٬000,990٬000,990000-600000,990000-600000,186٫00,186٫00,258٫00,258٫00,258-186,258-186,2٫00,2٫00,3٫00,3٫00,3-2,3-2,2٫00,2٫00,3٫00,3٫00,3-2,3-2
2,TAR,ترف,,ترف - الرمال,متاح,سكني,دور-شقة,,https://maps.app.goo.gl/HbNqmyyW7a6zVxRs7?g_st=ipc,شمال,المملكة العربية السعودية,الرياض,الرمال,,,,"صالة جلوس, مجلس",6٫00,3٫00,0٫00,0٫00,3٫00,856٬333,882٬667,5٬138٬000,48٫46%,0,2٬648٬000,0,2٬490٬000,750٬000,829٬000,990٬000,990٬000,990000-750000,990000-829000,203٫00,222٫00,259٫00,259٫00,259-203,259-222,0٫00,0٫00,0٫00,0٫00,0-0,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0
3,SAH,سهم,,سهم الروضة,متاح,سكني,دور-شقة,,https://maps.app.goo.gl/oLz5KTAHqTimZF2T9,شرق,المملكة العربية السعودية,الرياض,الروضة,رداح - ادوار حي الروضة,,,"صالة جلوس, مجلس",6٫00,4٫00,0٫00,1٫00,1٫00,1٬420٬000,1٬372٬500,8٬520٬000,19٫25%,0,5٬490٬000,1٬390٬000,1٬640٬000,1٬230٬000,1٬230٬000,1٬640٬000,1٬640٬000,1640000-1230000,1640000-1230000,142٫00,142٫00,214٫00,214٫00,214-142,214-142,3٫00,3٫00,4٫00,4٫00,4-3,4-3,3٫00,3٫00,5٫00,5٫00,5-3,5-3
4,DUR,درة الصفاء,,درة الصفاء,متاح,سكني,فيلا,,https://maps.app.goo.gl/qsJppfPit9RN8sY98,شرق,المملكة العربية السعودية,الرياض,الصفاء,رداح - درة الصفاء,,,"صالة جلوس, مجلس",12٫00,5٫00,0٫00,4٫00,3٫00,1٬693٬333,1٬664٬000,20٬320٬000,25٫15%,0,8٬320٬000,6٬890٬000,5٬110٬000,1٬580٬000,1٬610٬000,1٬890٬000,1٬880٬000,1890000-1580000,1880000-1610000,249٫00,249٫00,282٫00,282٫00,282-249,282-249,4٫00,4٫00,4٫00,4٫00,4-4,4-4,5٫00,5٫00,5٫00,5٫00,5-5,5-5
5,SAL,السلام ريزدنس,,السلام ريزدنس,متاح,سكني,شقة,,https://maps.app.goo.gl/CMxaMUfvXSi6TrNt5,شرق,المملكة العربية السعودية,الرياض,السلام,رداح - السلام ريزيدنس ,,,"صالة جلوس, مجلس",13٫00,6٫00,0٫00,0٫00,7٫00,983٬538,1٬050٬000,12٬786٬000,50٫73%,0,6٬300٬000,0,6٬486٬000,830٬000,830٬000,1٬330٬000,1٬330٬000,1330000-830000,1330000-830000,143٫00,143٫00,281٫00,251٫00,281-143,251-143,3٫00,3٫00,3٫00,3٫00,3-3,3-3,4٫00,4٫00,4٫00,4٫00,4-4,4-4
6,MAJ79,المجالات,79,المجالات - 79,متاح,سكني,فيلا-دور,,https://maps.app.goo.gl/irPzaUaLrvcgyAu49,شمال,المملكة العربية السعودية,الرياض,الصحافة,,,,"صالة جلوس, مجلس, غرفة سائق",5٫00,5٫00,0٫00,0٫00,0٫00,2٬690٬000,2٬690٬000,13٬450٬000,0٫00%,0,13٬450٬000,0,0,1٬750٬000,1٬750٬000,3٬900٬000,3٬900٬000,3900000-1750000,3900000-1750000,158٫00,158٫00,258٫00,258٫00,258-158,258-158,3٫00,3٫00,4٫00,4٫00,4-3,4-3,3٫00,3٫00,6٫00,6٫00,6-3,6-3
7,ALN106,ألين,106,ألين - 106,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/y4PPVtti2qfr3m8z9,شرق,,الرياض,الروضة,رداح - ألين - الروضة 106,,,"مجلس, صالة طعام, غرفة خادمة, بلكونة",2٫00,0٫00,2٫00,0٫00,0٫00,1٬424٬000,,2٬848٬000,0٫00%,2٬848٬000,0,0,0,1٬399٬000,0,1٬449٬000,0,1449000-1399000,0-0,170٫00,0٫00,170٫00,0٫00,170-170,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,4٫00,0٫00,4٫00,0٫00,4-4,0-0
8,ALN108,ألين,108,ألين - 108,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/Zv5gYWbaA7QQA23C7,شرق,المملكة العربية السعودية,الرياض,الملز,رداح - ألين - الملز 108,,,"مجلس, صالة طعام, غرفة خادمة, بلكونة, فناء خارجي, غرفة خدمات, غرفة غسيل, صالة جلوس",6٫00,0٫00,6٫00,0٫00,0٫00,1٬532٬333,,9٬194٬000,0٫00%,9٬194٬000,0,0,0,1٬349٬000,0,1٬699٬000,0,1699000-1349000,0-0,154٫00,0٫00,179٫00,0٫00,179-154,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,3٫00,0٫00,5٫00,0٫00,5-3,0-0
9,ALN120,ألين,120,ألين - 120,تحت الإنشاء,سكني,شقة,,https://maps.app.goo.gl/v3gDHhxP3SsNPscp7,شمال,المملكة العربية السعودية,الرياض,المحمدية,رداح - ألين - المحمدية 120,,,"غرفة خدمات, صالة جلوس, فناء خارجي, بلكونة",6٫00,0٫00,6٫00,0٫00,0٫00,1٬967٬333,,11٬804٬000,0٫00%,11٬804٬000,0,0,0,1٬799٬000,0,2٬149٬000,0,2149000-1799000,0-0,136٫00,0٫00,136٫00,0٫00,136-136,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0
10,AIN21,ميسان,21,آين,متاح,سكني,دور,,https://goo.gl/maps/fbK93s6v1kVooZMVA,شمال,المملكة العربية السعودية,الرياض,الحمراء,,,,,6٫00,5٫00,0٫00,0٫00,1٫00,1٬507٬000,1٬507٬000,7٬535٬000,0٫00%,0,7٬535٬000,0,0,1٬245٬000,1٬245٬000,1٬855٬000,1٬855٬000,1855000-1245000,1855000-1245000,188٫00,188٫00,243٫00,243٫00,243-188,243-188,3٫00,3٫00,3٫00,3٫00,3-3,3-3,0٫00,0٫00,0٫00,0٫00,0-0,0-0
